condition,seed,data_seen,task_i,task_j,linear_cka,checkpoint_fraction
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P07_parity_d3_9_12_28,0.9964442253112793,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P08_parity_d5_12_14_28_35_38,1.0,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P09_parity_d5_1_3_14_16_32,0.9947630167007446,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P10_parity_d3_2_3_33,0.9961757063865662,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P11_parity_d3_5_21_34,0.9932153224945068,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P12_parity_d3_9_27_30,0.9962608218193054,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P13_parity_d3_15_21_39,0.9951952695846558,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P14_parity_d3_3_23_24,0.996154248714447,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P15_parity_d5_7_24_30_32_33,0.9960225820541382,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P16_parity_d5_3_18_23_29_37,0.9965057373046875,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P17_parity_d5_1_7_16_18_37,0.9946160912513733,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P18_parity_d5_0_17_30_32_34,0.9965655207633972,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P19_parity_d5_2_8_11_16_29,0.9970235228538513,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P20_parity_d3_4_7_35,0.9880315065383911,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P21_parity_d5_25_34_36_37_39,0.9961420297622681,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P22_parity_d5_5_14_30_35_36,0.9957011342048645,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P23_parity_d5_8_13_18_30_39,0.9969043731689453,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P00_parity_d3_1_15_16,0.9964025020599365,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P01_parity_d3_0_21_26,0.9688026309013367,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P02_parity_d5_14_17_22_28_39,0.9962251782417297,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P03_parity_d3_25_33_36,0.9941314458847046,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P04_parity_d5_5_14_22_28_32,0.9956532716751099,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P05_parity_d3_16_18_28,0.9942085146903992,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P06_parity_d3_14_20_35,0.9951150417327881,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P07_parity_d3_9_12_28,0.9950880408287048,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P08_parity_d5_12_14_28_35_38,0.994763970375061,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P09_parity_d5_1_3_14_16_32,1.0,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P10_parity_d3_2_3_33,0.9962632656097412,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P11_parity_d3_5_21_34,0.989422082901001,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P12_parity_d3_9_27_30,0.9938542246818542,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P13_parity_d3_15_21_39,0.9941803812980652,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P14_parity_d3_3_23_24,0.9962921142578125,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P15_parity_d5_7_24_30_32_33,0.992637574672699,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P16_parity_d5_3_18_23_29_37,0.9934270977973938,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P17_parity_d5_1_7_16_18_37,0.9917208552360535,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P18_parity_d5_0_17_30_32_34,0.9947791695594788,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P19_parity_d5_2_8_11_16_29,0.9926123023033142,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P20_parity_d3_4_7_35,0.9920520782470703,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P21_parity_d5_25_34_36_37_39,0.9946909546852112,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P22_parity_d5_5_14_30_35_36,0.9957302212715149,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,P23_parity_d5_8_13_18_30_39,0.996056854724884,1.00352
baseline,0,100352,P10_parity_d3_2_3_33,P00_parity_d3_1_15_16,0.9965607523918152,1.00352
baseline,0,100352,P10_parity_d3_2_3_33,P01_parity_d3_0_21_26,0.9651111364364624,1.00352
baseline,0,100352,P10_parity_d3_2_3_33,P02_parity_d5_14_17_22_28_39,0.9973289370536804,1.00352
baseline,0,100352,P10_parity_d3_2_3_33,P03_parity_d3_25_33_36,0.994232177734375,1.00352
baseline,0,100352,P10_parity_d3_2_3_33,P04_parity_d5_5_14_22_28_32,0.9961615800857544,1.00352
