condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,120320,A09_xor2_46_15,C00_or_02_00,0.1160454973578453
baseline,0,120320,A09_xor2_46_15,C01_or_07_09,0.6637726426124573
baseline,0,120320,A09_xor2_46_15,C02_and_07_08,0.40381142497062683
baseline,0,120320,A09_xor2_46_15,C03_and_00_05,0.17012912034988403
baseline,0,120320,A09_xor2_46_15,C04_or_07_00,0.09288106113672256
baseline,0,120320,A09_xor2_46_15,C05_and_11_09,0.8242395520210266
baseline,0,120320,A09_xor2_46_15,C06_or_02_07,0.6373519897460938
baseline,0,120320,A09_xor2_46_15,C07_or_09_00,0.15366187691688538
baseline,0,120320,A09_xor2_46_15,C08_or_04_03,0.6111551523208618
baseline,0,120320,A09_xor2_46_15,C09_or_00_05,0.13485176861286163
baseline,0,120320,A09_xor2_46_15,K00_shortcut_for_05_bit0,0.5270847678184509
baseline,0,120320,A09_xor2_46_15,K01_shortcut_for_07_bit36,0.11811581999063492
baseline,0,120320,A09_xor2_46_15,K02_shortcut_for_07_bit18,0.38221535086631775
baseline,0,120320,A09_xor2_46_15,K03_shortcut_for_09_bit15,0.16420088708400726
baseline,0,120320,A09_xor2_46_15,S00_surface_xor_12_29,0.7163070440292358
baseline,0,120320,A09_xor2_46_15,S01_surface_xor_41_9,0.7185181975364685
baseline,0,120320,A09_xor2_46_15,S02_surface_xor_7_46,0.7409930229187012
baseline,0,120320,A09_xor2_46_15,S03_surface_xor_42_12,0.7129179239273071
baseline,0,120320,A09_xor2_46_15,U00_or_bits_6_36,0.21062740683555603
baseline,0,120320,A09_xor2_46_15,U01_eq2_22_31,0.7333743572235107
baseline,0,120320,A09_xor2_46_15,U02_eq2_21_40,0.6928843855857849
baseline,0,120320,A09_xor2_46_15,U03_and_bits_13_21,0.45544394850730896
baseline,0,120320,A10_bit_24,A00_not_bit_1,0.029410341754555702
baseline,0,120320,A10_bit_24,A01_xor2_39_25,0.0901796743273735
baseline,0,120320,A10_bit_24,A02_eq2_5_15,0.12631623446941376
baseline,0,120320,A10_bit_24,A03_xor2_6_45,0.07840612530708313
baseline,0,120320,A10_bit_24,A04_eq2_24_18,0.15806987881660461
baseline,0,120320,A10_bit_24,A05_not_bit_2,0.037229396402835846
baseline,0,120320,A10_bit_24,A06_not_bit_13,0.021016215905547142
