model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type,continuous_status
EleutherAI/pythia-160m,retrieval_number,mean_correct_margin,-0.4445154219865799,-1.7845392189919949,-1.340023797005415,-1.184115250594914,-0.4445154219865799,-1.7845392189919949,4,atomic,retrieval,retrieval,retrieve_number,1,0.55,0.55,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,retrieval_object,mean_correct_margin,-0.5265196710824966,-2.205425251275301,-1.6789055801928043,-1.3682192261330783,-0.5265196710824966,-2.205425251275301,4,atomic,retrieval,retrieval,retrieve_object,1,0.6,0.5,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,semantic_animal_class,mean_correct_margin,-0.5223428606987,-1.285038011148572,-0.762695150449872,-1.075281704775989,-0.5223428606987,-1.285038011148572,4,atomic,semantic,semantic,category,1,0.75,0.2,0.3,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,semantic_color_lookup,mean_correct_margin,-0.727729469537735,-1.3266639728099108,-0.5989345032721758,-1.2375216879881918,-0.727729469537735,-1.658308446407318,4,atomic,semantic,semantic,color_lookup,1,0.7,0.25,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,syntax_is_are,mean_correct_margin,-0.4142419695854187,-1.2433299850672483,-0.8290880154818296,-0.7771238065324724,-0.4142419695854187,-1.2433299850672483,4,atomic,syntax,syntax,agreement,1,0.75,0.35,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_copy,mean_correct_margin,-0.42168028652668,-1.0862646140158176,-0.6645843274891376,-0.6974225025624037,-0.42168028652668,-1.0862646140158176,4,atomic,string,string,copy,1,0.8,0.25,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_first,mean_correct_margin,-0.3943880200386047,-1.0491656921803951,-0.6547776721417904,-0.7076287986710668,-0.3943880200386047,-1.0491656921803951,4,atomic,string,string,first,1,0.75,0.3,0.6,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_last,mean_correct_margin,-0.4470536261796951,-1.1781711541116238,-0.7311175279319286,-0.8095544455572963,-0.4470536261796951,-1.1781711541116238,4,atomic,string,string,last,1,0.7,0.3,0.6,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_reverse2,mean_correct_margin,-0.2989097535610199,-0.8673754073679447,-0.5684656538069248,-0.5579757252708077,-0.2989097535610199,-0.8673754073679447,4,atomic,string,string,reverse,1,0.55,0.5,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_same,mean_correct_margin,-0.4708276391029358,-1.4789218995720148,-1.008094260469079,-0.8908144091255963,-0.4708276391029358,-1.4789218995720148,4,atomic,string,string,same_compare,1,0.6,0.35,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_add_small,mean_correct_mrr,0.4713541666666666,0.46484375,-0.006510416666666574,0.46516927083333326,0.4713541666666666,0.4609375,4,atomic,arithmetic,arithmetic,addition,1,0.9,0.2,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_compare,mean_correct_mrr,0.5260416666666666,0.5481770833333334,0.02213541666666674,0.5423177083333334,0.5494791666666666,0.5260416666666666,4,atomic,arithmetic,arithmetic,comparison,1,0.85,0.2,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_even,mean_correct_mrr,0.5013020833333333,0.46875,-0.03255208333333326,0.48209635416666663,0.5013020833333333,0.46875,4,atomic,arithmetic,arithmetic,parity,1,0.65,0.4,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_max2,mean_correct_mrr,0.4453125,0.45703125,0.01171875,0.4524739583333333,0.45703125,0.4453125,4,atomic,arithmetic,arithmetic,max,1,0.55,0.45,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_min2,mean_correct_mrr,0.5299479166666666,0.5455729166666667,0.01562500000000011,0.5322265625,0.5455729166666667,0.5130208333333333,4,atomic,arithmetic,arithmetic,min,1,0.55,0.45,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_sub_small,mean_correct_mrr,0.5104166666666666,0.515625,0.00520833333333337,0.5139973958333333,0.5169270833333333,0.5104166666666666,4,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.5,1.0,,,usable_or_near_usable
