model,fold,mse,n_train,n_test,features,complexity,true_mechanism,replicate
learnability_only,4,0.45659351409336946,10,2,reference_learnability,1,dependency_gated,2
freq_learn,0,0.5310369531491278,9,3,"log_frequency,reference_learnability",2,dependency_gated,2
freq_learn,1,2.249171949989111,9,3,"log_frequency,reference_learnability",2,dependency_gated,2
freq_learn,2,0.10113193137503568,10,2,"log_frequency,reference_learnability",2,dependency_gated,2
freq_learn,3,1.6355581589489214,10,2,"log_frequency,reference_learnability",2,dependency_gated,2
freq_learn,4,0.4506744238957653,10,2,"log_frequency,reference_learnability",2,dependency_gated,2
three_factor,0,0.4507221382267,9,3,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,2
three_factor,1,2.3550618366261786,9,3,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,2
three_factor,2,0.0036435938408513778,10,2,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,2
three_factor,3,1.3608236371477158,10,2,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,2
three_factor,4,0.19395098929006233,10,2,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,2
